item_id,category,current_stock,unit_cost,lead_time_days,sales_week_1,sales_week_2,sales_week_3,sales_week_4,sales_week_5,sales_week_6,sales_week_7,sales_week_8,sales_week_9,sales_week_10,sales_week_11,sales_week_12,total_sales_12_weeks
ITEM_001,Sports,255,9.497172883076072,11,25,31,28,29,35,31,25,25,21,21,24,21,316
ITEM_002,Home,284,8.113419182941769,2,49,56,53,74,64,63,59,56,47,48,51,59,679
ITEM_003,Sports,227,150.72742147678926,5,68,69,91,77,89,67,67,72,71,66,67,73,877
ITEM_004,Clothing,52,17.393878305774606,7,101,90,123,119,115,125,121,109,86,89,100,118,1296
ITEM_005,Books,198,11.128691208913178,7,57,61,57,66,73,69,68,56,67,45,50,57,726
ITEM_006,Electronics,153,94.0242412441675,12,71,72,76,69,66,75,69,66,62,59,51,72,808
ITEM_007,Sports,253,70.83495842370745,11,93,114,105,114,113,96,107,97,89,85,79,97,1189
ITEM_008,Electronics,142,52.22118796409805,6,62,67,60,77,77,91,67,64,58,50,67,72,812
ITEM_009,Books,218,39.00145365597333,1,88,85,92,104,119,96,84,88,81,67,74,96,1074
ITEM_010,Clothing,166,146.5613573796967,3,11,12,12,10,11,12,9,10,10,9,9,10,125
ITEM_011,Sports,154,145.5832852291652,1,36,36,42,46,34,44,33,30,22,28,32,34,417
ITEM_012,Sports,54,154.86803278973025,1,58,70,90,84,96,86,96,70,56,63,60,81,910
ITEM_013,Sports,299,45.73914993499523,6,38,46,45,53,54,45,39,37,40,37,41,50,525
ITEM_014,Clothing,161,178.55104165442543,7,32,35,45,53,42,36,42,31,30,35,35,36,452
ITEM_015,Sports,281,15.077935627878501,4,89,78,83,91,91,96,67,80,68,76,74,86,979
ITEM_016,Home,115,112.09919961769349,9,63,68,90,77,75,72,70,60,59,61,62,76,833
ITEM_017,Books,273,89.60107160140474,7,12,12,10,12,14,11,11,11,8,9,6,9,125
ITEM_018,Clothing,120,127.05823566980669,1,19,22,27,25,25,23,23,20,19,21,19,20,263
ITEM_019,Electronics,211,117.3052921753265,3,46,56,65,59,58,57,60,57,48,48,45,58,657
ITEM_020,Sports,206,24.497052996563358,4,95,86,113,128,124,97,93,100,92,66,68,99,1161
ITEM_021,Sports,128,186.53117560902206,10,72,77,86,94,81,102,70,63,74,71,73,81,944
ITEM_022,Clothing,155,77.98280517244346,1,14,18,18,18,17,17,13,13,14,12,13,13,180
ITEM_023,Sports,210,98.1544037216444,9,24,33,25,38,31,31,27,26,28,26,27,28,344
ITEM_024,Electronics,31,191.94696944453,8,53,51,57,62,57,56,57,43,41,40,53,47,617
ITEM_025,Sports,29,186.8820542540326,2,28,39,39,36,46,32,29,35,33,34,35,41,427
ITEM_026,Home,25,139.88430744793786,5,13,15,17,15,18,16,16,14,10,12,13,15,174
ITEM_027,Books,137,167.11744056218774,2,13,13,14,12,13,15,14,14,10,10,12,15,155
ITEM_028,Sports,268,105.2279503861631,8,89,97,88,103,99,101,74,81,78,57,64,64,995
ITEM_029,Sports,268,94.72323600179655,11,42,45,47,53,48,39,43,41,41,31,38,42,510
ITEM_030,Sports,92,22.996664314605486,9,13,14,19,16,15,14,13,12,10,12,12,11,161
ITEM_031,Home,293,92.24541153057366,3,73,81,94,92,98,80,94,75,71,62,74,84,978
ITEM_032,Home,53,113.7597418603353,8,24,25,30,26,25,29,25,19,26,19,29,24,301
ITEM_033,Electronics,153,195.1380967743028,8,77,91,114,126,116,93,108,92,86,67,98,102,1170
ITEM_034,Home,57,118.34145317740939,11,71,85,72,95,84,90,73,59,57,67,72,70,895
ITEM_035,Sports,113,25.806353772120033,5,80,96,95,105,119,98,104,78,86,92,64,86,1103
ITEM_036,Sports,97,106.99775782997827,4,61,62,72,73,83,73,68,58,53,53,60,62,778
ITEM_037,Electronics,123,49.65995123033529,7,57,54,49,58,52,59,57,61,50,47,54,43,641
ITEM_038,Home,273,44.88619566804534,2,80,93,87,96,105,107,97,81,72,77,69,79,1043
ITEM_039,Clothing,88,166.22577142277026,10,13,17,19,17,16,16,17,15,15,14,11,15,185
ITEM_040,Clothing,20,174.629790602115,7,59,63,72,63,63,67,57,63,49,49,56,58,719
ITEM_041,Home,270,32.46711897406097,8,41,62,55,66,65,67,53,45,39,33,49,57,632
ITEM_042,Electronics,276,65.43770062237913,7,88,83,88,94,102,82,89,85,85,76,68,89,1029
ITEM_043,Home,150,77.79531667455183,10,64,74,99,73,93,57,57,58,54,62,66,69,826
ITEM_044,Home,283,24.391071588072307,8,41,47,55,50,53,52,44,40,41,40,44,42,549
ITEM_045,Home,275,112.64920026613615,2,29,25,28,28,26,35,24,23,27,19,26,23,313
ITEM_046,Books,297,167.81139617586334,4,51,60,66,67,58,63,72,39,55,55,45,55,686
ITEM_047,Clothing,46,180.5036351603805,6,68,79,89,89,96,82,69,68,63,46,62,75,886
ITEM_048,Home,183,145.21395151092787,7,52,47,76,60,60,66,52,57,48,45,47,60,670
ITEM_049,Home,220,73.55033142117267,1,76,68,77,81,84,64,70,60,50,65,60,70,825
ITEM_050,Electronics,31,110.67068473877984,8,65,92,91,84,94,92,83,60,62,64,68,81,936
