Product/Internal Reference,Product/Name,Product/Barcode,Financial Category,Available Quantity,Quantity,Lot/Serial Number,Location,Lot/Serial Number/Production Date,Lot/Serial Number/Expiration Date,Lot/Serial Number/Removal Date,Lot/Serial Number/Alert Date,Product/Breadfast Barcode
PROD-000001,Harvest Tomato Paste,BAR-0000000001,All / ASTS / Furniture,480.0,480.0,LOT-0000000001,KAT/Stock,2025-05-07,2029-11-27,2029-06-11,2029-06-11,BREAD-0000000001
PROD-000002,Flash,BAR-0000000002,Coffee & Other Drinks,447.0,447.0,LOT-0000000002,KAT/Stock,2024-01-29,2028-02-20,2027-12-16,2027-12-16,BREAD-0000000002
PROD-000003,Elano Water Carton,BAR-0000000003,Centralized Fresh,205.0,205.0,LOT-0000000003,KAT/Stock/Zone (B),2025-09-20,2029-03-26,2028-10-29,2028-10-29,BREAD-0000000003
PROD-000004,Rhodes Natural Feta Gold,BAR-0000000004,All / Consumables / Cons - Cleaning,31.0,31.0,LOT-0000000004,KAT/Stock/Zone (B),2025-09-04,2030-07-10,2030-03-05,2030-03-05,BREAD-0000000004
PROD-000005,Harvest Tomato Paste,BAR-0000000005,Commodities,326.0,326.0,LOT-0000000005,KAT/Stock/Zone (A),2023-06-16,2025-06-26,2025-04-04,2025-04-04,BREAD-0000000005
PROD-000006,Argento Clear Offer,BAR-0000000006,Commodities,73.0,73.0,LOT-0000000006,KAT/Stock/Zone (B),2025-09-02,2029-07-16,2029-02-15,2029-02-15,BREAD-0000000006
PROD-000007,Big Tissue Roll,BAR-0000000007,Coffee & Other Drinks,250.0,250.0,LOT-0000000007,KAT/Stock/Zone (B),2024-03-27,2026-01-11,2025-10-07,2025-10-07,UNKNOWN_BREADFAST_BARCODE
PROD-000008,Harvest Tomato Paste,BAR-0000000008,Personal Care,449.0,449.0,LOT-0000000008,KAT/Stock,2025-05-09,2029-10-10,2029-07-17,2029-07-17,UNKNOWN_BREADFAST_BARCODE
PROD-000009,Elano Water Carton,BAR-0000000009,All / Consumables / Cons - Operations,393.0,393.0,LOT-0000000009,KAT/Stock/Zone (A),2023-07-29,2027-11-06,2027-08-23,2027-08-23,BREAD-0000000009
PROD-000010,Rhodes Natural Feta Gold,BAR-0000000010,All / Consumables / Cons - Operations,354.0,354.0,LOT-0000000010,KAT/Stock/Zone (F),2025-02-06,2029-09-09,2029-08-06,2029-08-06,UNKNOWN_BREADFAST_BARCODE
PROD-000011,Flash,BAR-0000000011,Commodities,20.0,20.0,LOT-0000000011,KAT/Stock/Zone (A),2023-08-02,2027-07-29,2027-05-05,2027-05-05,BREAD-0000000011
PROD-000012,Elano Water Carton,BAR-0000000012,All / Consumables / Cons - Operations,295.0,295.0,LOT-0000000012,KAT/Stock/Zone (B),2025-08-30,2030-03-26,2029-12-25,2029-12-25,UNKNOWN_BREADFAST_BARCODE
PROD-000013,Elano Water Carton,BAR-0000000013,Commodities,297.0,297.0,LOT-0000000013,KAT/Stock/Zone (B),2023-10-31,2027-03-11,2026-09-22,2026-09-22,BREAD-0000000013
PROD-000014,Big Tissue Roll,BAR-0000000014,Personal Care,327.0,327.0,LOT-0000000014,KAT/Stock,2025-05-06,2027-04-12,2027-01-14,2027-01-14,BREAD-0000000014
PROD-000015,Rhodes Cheddar Cheese,BAR-0000000015,Coffee & Other Drinks,301.0,301.0,LOT-0000000015,KAT/Stock/Zone (F),2025-05-10,2028-09-25,2028-07-30,2028-07-30,BREAD-0000000015
PROD-000016,Rhodes Natural Feta Gold,BAR-0000000016,All / ASTS / Furniture,337.0,337.0,LOT-0000000016,KAT/Stock/Zone (F),2025-03-18,2029-12-03,2029-10-29,2029-10-29,UNKNOWN_BREADFAST_BARCODE
PROD-000017,A4 Paper,BAR-0000000017,Centralized Fresh,72.0,72.0,LOT-0000000017,KAT/Stock/Zone (F),2023-04-30,2028-03-08,2027-12-09,2027-12-09,BREAD-0000000017
PROD-000018,Elano Water Carton,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,373.0,373.0,LOT-0000000018,KAT/Stock/Zone (B),2024-03-02,2028-11-26,2028-07-27,2028-07-27,BREAD-0000000018
PROD-000019,Rhodes Cheddar Cheese,BAR-0000000019,Commodities,40.0,40.0,LOT-0000000019,KAT/Stock/Zone (B),2025-08-02,2027-06-14,2027-05-04,2027-05-04,BREAD-0000000019
PROD-000020,A4 Paper,BAR-0000000020,Centralized Fresh,93.0,93.0,LOT-0000000020,KAT/Stock/Zone (A),2023-11-26,2028-07-17,2028-04-17,2028-04-17,BREAD-0000000020
PROD-000021,Rhodes Natural Feta Gold,BAR-0000000021,Coffee & Other Drinks,131.0,131.0,LOT-0000000021,KAT/Stock/Zone (B),2024-09-26,2029-01-04,2028-08-16,2028-08-16,BREAD-0000000021
PROD-000022,Shanon,BAR-0000000022,All / Consumables / Cons - Operations,98.0,98.0,LOT-0000000022,KAT/Stock/Zone (F),2024-07-17,2027-01-11,2026-12-08,2026-12-08,BREAD-0000000022
PROD-000023,Argento Clear Offer,BAR-0000000023,Centralized Fresh,397.0,397.0,LOT-0000000023,KAT/Stock/Zone (F),2023-06-29,2027-11-03,2027-07-31,2027-07-31,BREAD-0000000023
PROD-000024,Rhodes Cheddar Cheese,BAR-0000000024,All / ASTS / Furniture,397.0,397.0,LOT-0000000024,KAT/Stock/Zone (F),2023-10-17,2024-12-29,2024-09-23,2024-09-23,BREAD-0000000024
PROD-000025,Puvana Natural Water,BAR-0000000025,Water,52.0,52.0,LOT-0000000025,KAT/Stock,2023-07-06,2026-08-19,2026-04-26,2026-04-26,UNKNOWN_BREADFAST_BARCODE
PROD-000026,Shanon,BAR-0000000026,Coffee & Other Drinks,495.0,495.0,LOT-0000000026,KAT/Stock/Zone (A),2024-04-30,2025-12-02,2025-07-17,2025-07-17,BREAD-0000000026
PROD-000027,Argento Clear Offer,BAR-0000000027,Water,228.0,228.0,LOT-0000000027,KAT/Stock/Zone (A),2025-02-11,2027-11-05,2027-06-15,2027-06-15,BREAD-0000000027
PROD-000028,Big Tissue Roll,BAR-0000000028,All / Consumables / Cons - Cleaning,127.0,127.0,LOT-0000000028,KAT/Stock/Zone (B),2025-11-23,2028-05-07,2028-01-19,2028-01-19,BREAD-0000000028
PROD-000029,Harvest Tomato Paste,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,211.0,211.0,LOT-0000000029,KAT/Stock,2023-07-01,2025-09-21,2025-06-18,2025-06-18,BREAD-0000000029
PROD-000030,Flash,BAR-0000000030,Centralized Fresh,284.0,284.0,LOT-0000000030,KAT/Stock/Zone (A),2023-05-26,2027-03-21,2026-12-06,2026-12-06,BREAD-0000000030
PROD-000031,Puvana Natural Water,UNKNOWN_BARCODE,All / Consumables / Cons - Cleaning,278.0,278.0,LOT-0000000031,KAT/Stock,2025-12-03,2029-05-09,2029-04-05,2029-04-05,BREAD-0000000031
PROD-000032,Big Tissue Roll,UNKNOWN_BARCODE,Coffee & Other Drinks,494.0,494.0,LOT-0000000032,KAT/Stock,2024-05-13,2026-06-09,2025-12-29,2025-12-29,BREAD-0000000032
PROD-000033,Rhodes Natural Feta Gold,BAR-0000000033,Personal Care,340.0,340.0,LOT-0000000033,KAT/Stock/Zone (B),2025-03-13,2030-01-20,2029-09-27,2029-09-27,BREAD-0000000033
PROD-000034,Big Tissue Roll,BAR-0000000034,Commodities,158.0,158.0,LOT-0000000034,KAT/Stock,2024-06-14,2028-08-27,2028-03-10,2028-03-10,BREAD-0000000034
PROD-000035,Harvest Tomato Paste,BAR-0000000035,All / ASTS / Furniture,351.0,351.0,LOT-0000000035,KAT/Stock/Zone (A),2023-07-30,2025-06-09,2025-02-20,2025-02-20,UNKNOWN_BREADFAST_BARCODE
PROD-000036,Rhodes Natural Feta Gold,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,232.0,232.0,LOT-0000000036,KAT/Stock/Zone (B),2025-06-11,2027-09-07,2027-05-11,2027-05-11,BREAD-0000000036
PROD-000037,Puvana Natural Water,UNKNOWN_BARCODE,All / Consumables / Cons - Operations,70.0,70.0,LOT-0000000037,KAT/Stock/Zone (A),2023-01-05,2027-04-29,2026-11-14,2026-11-14,UNKNOWN_BREADFAST_BARCODE
PROD-000038,Harvest Tomato Paste,BAR-0000000038,Commodities,204.0,204.0,LOT-0000000038,KAT/Stock,2023-11-07,2028-07-16,2028-05-16,2028-05-16,BREAD-0000000038
PROD-000039,A4 Paper,UNKNOWN_BARCODE,Centralized Fresh,188.0,188.0,LOT-0000000039,KAT/Stock,2023-06-11,2026-08-31,2026-05-11,2026-05-11,BREAD-0000000039
PROD-000040,Flash,BAR-0000000040,All / Consumables / Cons - Operations,150.0,150.0,LOT-0000000040,KAT/Stock/Zone (F),2023-08-04,2025-06-16,2025-04-12,2025-04-12,UNKNOWN_BREADFAST_BARCODE
